Term,Type,Synonyms,Definition,Generated Definition
loss given default,Class,,The loss given some default.,A kind of impact.
lottery call,Class,,,A kind of partial call allocation.
low price,Class,,The lowest valuation over the period specified. Possibly but not necessarily based on a trade. Determined by the trading venue as to whether it's based on a trade or an offer. this can be regarded as a derived price. Price is based on a riule whil will cause one to pick a certain price type.,"A kind of equity exchange published price. A valid occurrence may have the following properties:
applicable period any number of occurrences of date period.
price determination method any number of occurrences of text value.
quote size any number of occurrences of integer value."
m b s deal,Class,,The issue of a series of Mortgage Backed Security certificates.,"A kind of pool backed securities deal. A valid occurrence satisfies the following necessary condition:
has underlying at least one occurrence of securitized mortgage pool."
m b s deal prospectus,Class,,Prospectus describing the terms of the issue and each of the instruments included in the mortgage backed security issue. Term origin:SMER,A kind of pool backed deal prospectus.
m b s factor,Class,,,
m b s instrument slice,Class,,A holding of an individual slice or slices of a tranche.,"A kind of security holding. A valid occurrence satisfies the following necessary condition:
takes form of at least one occurrence of (Unnamed Class)."
m b s issuer,Class,,The issuer of a Mortgage Backed Security.,"A kind of pool backed security issuer. A valid occurrence satisfies the following necessary condition:
issuer identity at least one occurrence of (Unnamed Class)."
m b s pool,Class,,A pool investment consisting of a collection of MBS instruments.,A kind of cash structured finance instrument pool.
m b s tranche note,Class,,An individual note of a tranche.,"A kind of security note (please review). A valid occurrence may have the following properties:
denomination any number of occurrences of monetary amount."
m t n issue,Class,,,A kind of bond offer issue.
m t n offer program,Class,,A program of offerings of Medium Term Note debt securities. This is a set of issues where the maturity is defined after the rest of the terms have been registered with some authority. These are registered up front so that then the company wants to borrow more money they don't have to go through the registration period but have the facility up front to issue another security.,"A kind of bond issuance program. A valid occurrence satisfies the following necessary condition:
issues at least one occurrence of m t n issue."
MacCaulays Duration Analytic,Class,,,"A kind of duration analytic. A valid occurrence satisfies the following necessary condition:
makes reference to at least one occurrence of instrument internal rate of return.A valid occurrence may also have the following properties:
mac caulays duration has value any number of occurrences of timed duration specification."
majority controlling party,Class,,,A kind of sole controlling party.
make whole call,Class,,,"A kind of entire call. A valid occurrence may have the following properties:
make whole treasury item any number of occurrences of text value.
make whole call basis point spread any number of occurrences of percentage."
make whole feature,Class,make whole provision,a call provision allowing the issuer to pay off remaining debt early,A kind of call feature.
managed c d o,Class,,A CDO where the reference assets are bought (the portfolio is ramped up) and then the CDO manager may alter the portfolio as they see fit.,"A kind of c d o deal. A valid occurrence satisfies the following necessary conditions:
management style at least one occurrence of managed management style.
holds at least one occurrence of m b s instrument slice.
holds at least one occurrence of managed c d o portfolio."
managed c d o portfolio,Class,,A portfolio where the reference assets of the CDO are bought (the portfolio is ramped up) and then the CDO manager may alter the portfolio as they see fit.,A kind of c d o portfolio.
managed interest rate,Class,,a variable interest rate charged by a financial institution for borrowing that is not prescribed as a margin over base rate but is set from time to time by the institution,"A kind of variable interest rate. A valid occurrence satisfies the following necessary condition:
is managed by at least one occurrence of financial service provider."
managed management style,Class,,,A kind of c d o management style.
management company,Class,,Any investment company that sells and manages a portfolio of securities other than a face-amount certificate company or unit investment fund.,A kind of investment company.
mandatory sinking fund description,Class,,Terms relating to a Mandatory Sinking Fund call of the issue.,"A kind of bond amortization payment terms. A valid occurrence satisfies the following necessary condition:
includes at least one occurrence of mandatory sinking fund schedule.A valid occurrence may also have the following properties:
super sinker any number of occurrences of Boolean value.
mandatory sinking fund any number of occurrences of Boolean value."
mandatory sinking fund schedule,Class,,,A kind of schedule.
mandatory sinking fund schedule listing,Class,,A full schedule of dates and payments for a Mandatory Sinking Fund style of Call.,"A kind of ad hoc schedule and mandatory sinking fund schedule. A valid occurrence satisfies the following necessary condition:
schedules mandatory event at least one occurrence of call of issue."
manufactured home legal classification,Class,,a category indicating whether the covered loan is secured by a manufactured home only or with land as well,A kind of classifier.
margin,Class,,The parameter of the Expression which is added to the Base to get the Interest amount.,"A kind of formula argument. A valid occurrence may have the following properties:
amount any number of occurrences of percentage."
margin account,Class,,Account held at a Derivatives Exchange by a participant in that exchange.,A kind of account.
marine finance  (please review),Class,,A loan for the purchase of a boat or other vessel.,"A kind of loan drawdown. A valid occurrence may have the following properties:
percentage advanced (please review) any number of occurrences of percentage.
boat held as chattel (please review) any number of occurrences of Boolean value.
moored at (please review) any number of occurrences of text value.
residential (please review) any number of occurrences of Boolean value."
marine finance contract  (please review),Class,,Contract embodying the terms under which a loan is advanced for marine finance.,"A kind of loan contract. A valid occurrence satisfies the following necessary condition:
sets out terms for (please review) at least one occurrence of marine finance (please review)."
market,Class,,"a market is a venue that allows buyers and sellers of goods, commodities, services, etc. to conduct business, including markets where securities may be traded","A kind of venue. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `situates` some `commercial activity`."
market basket,Class,,a basket made up of market indices,"A kind of basket. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of basket Of indices constituent."
market correlation risk party,Class,,"A party which is party to some undue dependency in their market of operation, such as undue reliance of a particular market sector for their economic survival.",A kind of party in role.
market data,Class,,"Data about financial instruments, that is published and may be used to support decision making or processing of financial instruments. Definition source: own definition.",A kind of financial market information.
market data provider,Class,,a publisher that publishes data about the financial markets,"A kind of financial information publisher. A valid occurrence satisfies the following necessary condition:
publishes at least one occurrence of market rate."
market identifier,Class,,"identifier or code allocated to places of trade, i.e., stock exchanges, regulated markets, e.g., Electronic Trading Platforms (ECN), and unregulated markets, e.g., Automated Trading Systems (ATS)","A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of exchange."
market investment goal,Class,,A business goal driving investment activities as distinct from day to day commercial trading activities.,A kind of investment goal.
market opening price,Class,,The market opening price is the price a broker or someone would refer to at the start of trading.,"A kind of market price. A valid occurrence may have the following properties:
trading session any number of occurrences of exchange trading session.
opening price type any number of occurrences of market opening price type."
market opening price type,Class,,,A kind of method.
market parameter timed value  (please review),Class,,The actual value (at a point in time) of a parameter.,A kind of timed value.
market price,Class,,A price determined about a trading market as a whole.,"A kind of share price. A valid occurrence satisfies the following necessary condition:
refers to market at least one occurrence of composite market.A valid occurrence may also have the following properties:
attribution any number of occurrences of any type."
market rate,Class,,"a measure that is also published financial information providing a rate used to measure market trends for a set of instruments (S&P500, NASDAQ composite, 30 day CD) or that describes the economic climate for an industry (Dow Jones Industrial Average (DJIA), H&Q Growth Technologies) and/or political region (LIBOR, Prime)","A kind of published financial information and rate. A valid occurrence may have the following properties:
has quotation date and time any number of occurrences of date time.
has quotation date any number of occurrences of date."
market spread,Class,,a statistical measure providing the difference (or spread) between two market rates,"A kind of statistical measure. A valid occurrence satisfies the following necessary condition:
has operand exactly two occurrences of market rate."
market transaction,Class,,"Any transaction which defines a supply of some negotiable item in return for some Consideration. The Market Transaction has a Principal and a Counterparty, i.e. it is not symmetrical.","A kind of economic transaction. A valid occurrence satisfies the following necessary conditions:
consideration at least one occurrence of economic resource.
counterparty at least one occurrence of transaction counterparty.
principal at least one occurrence of transaction principal.
payment terms at least one occurrence of market transaction payment terms."
market transaction invoicing terms,Class,,,A kind of economic contract commitment.
market transaction payment terms,Class,,,"A kind of economic contract commitment. A valid occurrence satisfies the following necessary condition:
governs at least one occurrence of payment process."
market value c d o,Class,,,"A kind of c d o deal. A valid occurrence satisfies the following necessary condition:
structure at least one occurrence of market value structure."
market value structure,Class,,,A kind of c d o cashflow treatment structure.
marketable service,Class,,,"A kind of bundle of resources and occurrent thing. A valid occurrence satisfies the following necessary condition:
at least one occurrence of service."
Mass,Class,,,A kind of Dimension.
master agreement,Class,,A legal contract which is deemed to apply to a number of future activities between the parties thereto and having force over future agreements or contracts to be brought into effect between those parties.,"A kind of written contract. A valid occurrence satisfies the following necessary conditions:
mandates at least one occurrence of master agreement obligation.
governs at least one occurrence of contractual relationship."
master agreement account change notification obligation,Class,,"The obligtation to notify the counterparty to this agreement, of any changes in account details.","A kind of master agreement change notification obligation. A valid occurrence may have the following properties:
change of account details allowed any number of occurrences of Boolean value."
master agreement change notification obligation,Class,,"The obligtaion to notify the counterparty to this agreement, of any changes in details.","A kind of o t c derivatives master agreement obligation. A valid occurrence may have the following properties:
required days notice any number of occurrences of integer value."
master agreement early termination provisions,Class,,Terms and Conditions around early termination of the Master Agreement.,"A kind of o t c master agreement termination provisions. A valid occurrence satisfies the following necessary condition:
sets out at least one occurrence of o t c master agreement early termination right.A valid occurrence may also have the following properties:
payment date calculation requirement any number of occurrences of text value.
statement calculation requirements any number of occurrences of text value.
effect of designation any number of occurrences of text value."
master agreement obligation,Class,,Obligation set out in some Master Agreement.,A kind of contractual obligation.
master confirmation valuation time terms set,Class,,Formal terms specifying the time for Valuation of Equity Underlying.,"A valid occurrence may have the following properties:
has valuation time of day any number of occurrences of time of day."
master credit facility,Class,,A pool of credit facilities is combined into a Master Credit Facility for more efficient management of credit.,"A kind of collection. A valid occurrence satisfies the following necessary condition:
has collection constituent at least one occurrence of credit facility."
material amount,Class,,A qualified amount of some continuous substance or some thing measured in units. Material Amount is always qualified by some unit in which the substance is measured.,"A kind of numeric amount. A valid occurrence satisfies the following necessary conditions:
has base unit at least one occurrence of measurement unit.
has base unit at least one occurrence of Unit.
may be expressed as at least one occurrence of measure.
is amount of at least one occurrence of continuous physical stuff."
mathematical curve,Class,,,A kind of mathematical surface.
mathematical expression,Class,,Some expression of some mathematical quantity or quantities.,A kind of mathematical thing.
mathematical model,Class,,A model for determining one or more parameters or the behaviour of parameters with respect to one another.,A kind of mathematical expression.
mathematical quantity,Class,,Some mathematical quantity which is to be expressed in some way. This is not itself an expression.,"A kind of parametric thing. A valid occurrence satisfies the following necessary condition:
expressed as at least one occurrence of mathematical expression."
mathematical surface,Class,,,A kind of mathematical model.
mathematical thing,Class,,"A Mathematical Thing is something in the universe of mathematics. That is, something that is a parameter (mathematical quantity) or something that is used to express that parameter, such as a value or components of a formula.",
maturity,Class,,The period remaining until an instrument reaches the end of its life.,"A kind of timed parameter. A valid occurrence may have the following properties:
maturity has value any number of occurrences of dated duration specification."
maturity equivalent p s a,Class,,"Prepayment speed that results in the same average life as that computed for the Collateralized Mortgage Obligation (CMO), Asset Backed Securities (ABS) or Mortgage Backed Securities (MBS) using the Maturity Prepay Model.",A kind of prepayment speed.
maturity extension,Class,,The fact that the underlier fails to make principal payments as expected. Further notes: A credit event. REVIEW: The definition from FpML appears to be a variant on that for Failure To Pay Principal. The definition given here is the definition of a failure to pay principal but the FpML definition for Failure to pay Principal is more detailed. This definition alone does not justify an extension of the maturity. FpML full definition: 'A credit event. Results from the fact that the underlier fails to make principal payments as expected.',A kind of obligation credit event.
Maturity level,Class,,,A kind of Concept.
mean,Class,,"the most common measure of central tendency, the average of a set of numbers","A kind of expression, quantity value, and statistical measure."
mean price determination,Class,,Exchange closing price may take an average (mean) price.,A kind of closing price determination method.
measurable asset,Class,,"Some asset which is or may be measured monearality in some currency. Editorial Note: This class introduced because the original FIBO model has a property 'measured in' (with range of Currency) which is not in FIBO-FND v1.0 and because this lets us use the parent class to define anything as an asset if it is owned whether or not it is measured monetarily. Applications of the concept of Asset to accouting, book-keeping etc where it is measured should use this now term in place of the parent term 'Asset'. Note also that the moved property 'measured in' is an object property, having a range of Currency.","A kind of asset. A valid occurrence satisfies the following necessary condition:
measured in at least one occurrence of currency."
Measurable Quantity,Class,,,
measure,Class,,"an amount or degree of something; the dimensions, capacity, or amount of something ascertained by measuring","A kind of reference. A valid occurrence may have the following properties:
has measurement period in months any number of values of integer.
is a measure of any number of occurrences of any type."
measure,Class,,,"A kind of mathematical thing. A valid occurrence satisfies the following necessary conditions:
is measured in at least one occurrence of Unit.
reciprocal at least one occurrence of measure."
measured thing,Class,,"Any Independent Thing. This is included as a separate term only so that we can refer to the trivial fact that all Independent Things have any number of properties, without cluttering the Independent Thing itself. This is for the modeling of reference entities. Note that the measurable quantity should be replaced with the actual parent property in all cases. DO NOT USE THIS TERM ELSEWHERE","A valid occurrence satisfies the following necessary condition:
has numerically measurable property at least one occurrence of timed parameter."
Measured Value,Class,,,A kind of quantity value.
measurement instrument,Class,,"An instrument whose purpose is to measure some variable, for example in some physical process.","A kind of instrument. A valid occurrence satisfies the following necessary condition:
has purpose at least one occurrence of measurement purpose."
Measurement Procedure,Class,,,"A valid occurrence may have the following properties:
results in any number of occurrences of Unitary Value."
measurement purpose,Class,,The purpose of measuring things.,A kind of purpose.
measurement unit,Class,,"a quantity, defined and adopted by convention, with which any other quantity of the same kind can be compared to express the ratio of the two quantities as a number","Equivalent to Unit.A kind of quantity. A valid occurrence satisfies the following necessary conditions:
has definition at least one occurrence of system of units.
applies to at least one occurrence of quantity kind."
meat commodity,Class,,"A commodity which is a kind of meat, such as pork bellies.",A kind of agricultural product.
mechanical robot,Class,,,A kind of robot.
medium term note,Class,,A Medium Term Note is a Negotiable debt instrument offered under a program agreement through one or more dealers upon request of the Issuer. The Program defines the terms and conditions of the notes. An MTN issue is defined by the fact that the registration doesn't have a pre-defined maturity.,A kind of bond.
memorandum,Class,,"A semi-formal communication from one party to one or more other parties, communicating some information to them and identifying the fact that this has been communicated.","A kind of written communication. A valid occurrence satisfies the following necessary conditions:
to at least one occurrence of autonomous agent.
from at least one occurrence of organization."
merchant,Class,,a business entity engaged in a trading activity,"A kind of business. A valid occurrence satisfies the following necessary condition:
is characterized by at least one occurrence of commerce."
merchant service,Class,,"a financial service provided by a financial institution to a merchant or other business, including but not limited to managing financial transactions via a secure channel",A kind of financial service.
message,Class,,Some message communicating something from some party to some other party.,"A kind of information. A valid occurrence satisfies the following necessary condition:
has subject at least one occurrence of any type."
method,Class,,A way in which something is done.,"A valid occurrence satisfies the following necessary condition:
is way of doing at least one occurrence of intended occurrent."
metric weight measurement unit,Class,,,A kind of bullion measurement unit and unit of mass.
metropolitan statistical area,Class,,"one or more adjacent counties or county equivalents that have at least one urban core area of at least 50,000 population, plus adjacent territory that has a high degree of social and economic integration with the core as measured by commuting ties",A kind of statistical area.
mezzanine c d o tranche,Class,,The tranche between senior and subordinated. Mezzanine tranches of a CDO issue are typically rated B to BBB.,"A kind of c d o note. A valid occurrence satisfies the following necessary condition:
rated at issue at least one occurrence of tranche rating at issue.A valid occurrence may also have the following properties:
seniority any number of values of any type."
mezzanine m b s tranche,Class,,Specific kinds of tranche are modeled for example and investigation only and have been removed from the diagrams. These will be removed from the final model.,"A kind of tranched m b s instrument. A valid occurrence satisfies the following necessary condition:
senior to at least one occurrence of subordinated m b s tranche."
micropolitan statistical area,Class,,"one or more adjacent counties or county equivalents that have at least one urban core area of at least 10,000 population but less than 50,000, plus adjacent territory that has a high degree of social and economic integration with the core as measured by commuting ties",A kind of statistical area.
mid price,Class,,Mid (arithmetic mean) between Bid and Offer (Ask) price. Referred to in Europe not in US. e.g. LSE published a Mid price. Always an exchange that publishes. Question from editor: Can a Mid Price ever be an allotted price? Suspect not. Same question for Dealt Price.,"A kind of equity exchange published price and price analytic. A valid occurrence satisfies the following necessary conditions:
refers to at least one occurrence of bid price.
refers to at least one occurrence of offer price."
military person,Class,,a person that is a member of the active duty military,A kind of legally capable person.
minimum margin,Class,,The lowest amount an account can reach before needing to be replenished.,A kind of futures trading margin.
minor,Class,,"a person under a certain age, usually the age of majority in a given jurisdiction, which legally demarcates childhood from adulthood",A kind of person.
mixed basket,Class,,"a basket that has a mix of constituents, including securities and indices","A kind of basket. A valid occurrence satisfies the following necessary condition:
has constituent at least one occurrence of (Unnamed Class)."
modified duration analytic,Class,,"The percentage price change of a security for a given change in yield. The higher the modified duration of a security, the higher its risk. Ad/ModDuration = [duration / {1 + (IRR/M)}]; where IRR is the internal rate of return and M is the number of compounding periods per year.","A kind of duration analytic. A valid occurrence satisfies the following necessary condition:
refers to at least one occurrence of MacCaulays Duration Analytic.A valid occurrence may also have the following properties:
modified duration value any number of occurrences of timed duration specification."
modify convention roll rule,Class,,A rule to apply when the Date Rool Rule results in a specified date falling on a working date in the month or year following the date which was returned before the Date Roll Rule was applied.,"A kind of date determination reference rule. A valid occurrence may have the following properties:
rule direction any number of occurrences of DateRollRuleDirection."
monetary amount,Class,,the measure which is an amount of money specified in monetary units,"A kind of monetary measure. A valid occurrence may have the following properties:
has currency any number of occurrences of currency.
has currency any number of occurrences of currency."
monetary authority,Class,,"a regulatory agency that controls the monetary policy, regulation and supply of money in some country or group of countries","A kind of regulatory agency. A valid occurrence satisfies the following necessary condition:
regulates supply of at least one occurrence of currency."
monetary measure,Class,,some measure of some sum of money,A kind of measure.
monetary price,Class,,a price that that is expressed as a monetary amount,A kind of monetary amount and price.
Monetary Reference,Class,,,"A kind of Quantity Reference. A valid occurrence may have the following properties:
takes reference form any number of occurrences of currency."
Monetary Valuation Procedure,Class,,,"A kind of Measurement Procedure. A valid occurrence may have the following properties:
results in measured value any number of occurrences of Measured Value."
money amount,Class,,Money Market Debt Instrument is a kind of short term debt security. This is defined as the logical union of all the securities that are commonly referred to as Money Market instruments.,"A kind of debt instrument. A valid occurrence may have the following properties:
typical maturity duration any number of occurrences of up to one year."
money market debt instrument,Class,,Money Market Debt Instrument is a kind of short term debt security. This is defined as the logical union of all the securities that are commonly referred to as Money Market instruments.,"A kind of debt instrument. A valid occurrence may have the following properties:
typical maturity duration any number of occurrences of up to one year."
money market deposit,Class,,,"A kind of non tradable debt instrument. A valid occurrence satisfies the following necessary conditions:
has value at issue at least one occurrence of par value.
has value at maturity at least one occurrence of par value.A valid occurrence may also have the following properties:
callable any number of occurrences of Boolean value."
money market future,Class,,A future instrument where the underlying is a money market instrument.,A kind of interest rate future.
money market future standardized terms set,Class,,"A set of standard terms for money market futures contracts, as set out by the derivatives exchange. Money Market Futures contracts issued by and traded on that exchange will take on these terms or override them.",A kind of interest rate future standardized terms set.
money market future underlying,Class,,The money market instrument which is the underlying of a Money Market Futures contract.,"A kind of interest rate future debt underlying. A valid occurrence satisfies the following necessary condition:
identity at least one occurrence of money market debt instrument."
money market yield,Class,,,A kind of interest rate treatment.
money weighted rate of return performance determination method,Class,,Money weighted rate of return.,A kind of performance determination method.
month,Class,,A Julian calendar month,A kind of calendar temporal unit.
more then one year description,Class,,,"A kind of year based duration description. A valid occurrence may have the following properties:
multiplier any number of occurrences of integer value."
mortgage backed security instrument,Class,,,"A kind of pool backed security instrument. A valid occurrence satisfies the following necessary conditions:
has wac at least one occurrence of weighted average coupon.
issued by at least one occurrence of m b s issuer.
has instrument analytic at least one occurrence of mortgage instrument weighted average remaining maturity.
has wac at least one occurrence of weighted average coupon.
defines terms for at least one occurrence of mortgage debt.A valid occurrence may also have the following properties:
pass through any number of occurrences of Boolean value.
has note any number of occurrences of security note (please review)."
mortgage borrower  (please review),Class,,,
mortgage collateral,Class,,"Mortgage Debt Assets pledged to a lender until a loan is repaid. Further notes: This provides one means by which some extension of finance (such as a loan, debt or equity issue) is under-written.",A kind of debt collateral.
mortgage debt,Class,,Mortgage debt issued under a Mortgage Backed Security.,A kind of collateralized debt.
mortgage indemnity guaranty  (please review),Class,,Mortgage Indemnity Guaranty (MIG).,"A kind of guaranty. A valid occurrence satisfies the following necessary conditions:
is guaranteed by at least one occurrence of loan m i g provider party (please review).
guaranty takes form of at least one occurrence of mortgage indemnity insurance policy (please review)."
mortgage indemnity insurance policy  (please review),Class,,The physical policy for the Mortgage Indemnity Guaranty.,A kind of insurance policy.
mortgage instrument weighted average remaining maturity,Class,,"The weighted average of the time until all maturities on mortgages in a mortgage-backed security (MBS). The higher the weighted average to maturity, the longer the mortgages in the security have until maturity.","A kind of instrument weighted average remaining maturity. A valid occurrence may have the following properties:
w a r m value any number of occurrences of timed duration specification."
mortgage lender  (please review),Class,,,
mortgage lending  (please review),Class,,,"A kind of property related activity (please review). A valid occurrence satisfies the following necessary condition:
determines (please review) at least one occurrence of original l t v (please review)."
mortgage loan  (please review),Class,,A loan securitized against some real estate.,"A kind of collateralized secured loan. A valid occurrence satisfies the following necessary conditions:
has lending party (please review) at least one occurrence of mortgage lender (please review).
has borrowing party (please review) at least one occurrence of mortgage borrower (please review).
has party (please review) at least one occurrence of loan servicer (please review).
has m i g provider (please review) at least one occurrence of loan m i g provider party (please review).A valid occurrence may also have the following properties:
maturity (please review) any number of occurrences of timed duration specification.
maturity date (please review) any number of occurrences of date."
mortgage loan application,Class,,,"A kind of loan application. A valid occurrence satisfies the following necessary conditions:
may become (please review) at least one occurrence of mortgage loan (please review).
appraised by (please review) at least one occurrence of mortgage loan appraiser."
mortgage loan appraiser,Class,,That party which appraises the borrower for the purposes of the loan.,A kind of loan appraiser.
mortgage loan borrower assessment information  (please review),Class,,,"A kind of loan application borrower assessment information. A valid occurrence satisfies the following necessary conditions:
is about at least one occurrence of mortgage loan application.
appraised by at least one occurrence of mortgage loan appraiser.A valid occurrence may also have the following properties:
first time buyer (please review) any number of occurrences of Boolean value."
mortgage loan borrower information  (please review),Class,,,"A kind of loan application borrower assessment information. A valid occurrence may have the following properties:
domiciled (please review) any number of occurrences of Boolean value."
mortgage loan contract  (please review),Class,,A mortgage loan contract setting out the terms and conditions for a mortgage.,"A kind of loan contract. A valid occurrence satisfies the following necessary condition:
sets out terms for (please review) at least one occurrence of mortgage loan (please review).A valid occurrence may also have the following properties:
loan mortgage mandate amount (please review) any number of occurrences of monetary amount.
mortgage purpose (please review) any number of occurrences of mortgage loan purpose."
mortgage loan purpose,Class,,"the purpose for which mortgage loan proceeds will be used, such as real property purchase, dwelling construction, or loan refinancing",A kind of classifier.
mortgage loan purpose,Class,,A purpose for which a Mortgage Loan may be taken out.,A kind of loan purpose.
mortgage pool,Class,,A number of mortgages combined into a single pool and used as an asset.,"A kind of loan pool. A valid occurrence satisfies the following necessary condition:
constituent at least one occurrence of mortgage pool constituent."
mortgage pool constituent,Class,,Amortgage defined as a constituent of a Mortgage Pool.,A kind of loan pool constituent.
mortgage product  (please review),Class,,,"A kind of loan product. A valid occurrence satisfies the following necessary conditions:
is template for at least one occurrence of mortgage loan contract (please review).
specifies (please review) at least one occurrence of loan property collateral (please review).
is embodied in at least one occurrence of mortgage loan contract (please review)."
motorhome loan purpose,Class,,,A kind of loan purpose.
mportgage loan contract,Class,,a loan contract that is secured by real property,"A kind of closed end loan contract. A valid occurrence satisfies the following necessary conditions:
has closing date at least one occurrence of date.
assumes at least one occurrence of mportgage loan contract.A valid occurrence may also have the following properties:
comprises at least one occurrence of (Unnamed Class)."
Multi Dimensional Property,Class,,,"A valid occurrence may have the following properties:
is defined under any number of occurrences of Coherent System Of Units."
multilateral trading facility,Class,,a trading system that facilitates the exchange of financial instruments between multiple parties,"A kind of exchange. A valid occurrence may have the following properties:
is managed by any number of occurrences of financial service provider."
multiple voting share,Class,,A share which confers upon the holder multiple voting rights.,"A kind of voting share. A valid occurrence satisfies the following necessary condition:
confers two or more voting right at least two occurrences of voting right.A valid occurrence may also have the following properties:
number of votes any number of occurrences of integer value."
municipal area,Class,,"An area which is identified as a municipality and governed by a municipal government. Scope Note: In most of the world this term or word corresponds to a city area. In the US, municipalities are also identified as coextensive with counties and some other geographical areas.","A kind of geopolitical entity. A valid occurrence satisfies the following necessary condition:
municipal area corresponds to at least one occurrence of geographical area."
municipal bond,Class,,"A debt security issued by or on behalf of a state or its political subdivision, or an agency or instrumentality of a state, its political subdivision, or a municipal corporation. Municipal bonds, for example, may be issued by states, cities, counties, special tax districts or special agencies or authorities of state or local governments.","A kind of government issued bond and municipal security. A valid occurrence satisfies the following necessary condition:
bank qualified status at least one occurrence of bank qualified tax exemption.A valid occurrence may also have the following properties:
has municipal bond capital type any number of occurrences of municipal bond capital type.
has municipal bond refund terms any number of occurrences of municipal bond refund terms.
legal opinion any number of occurrences of Boolean value.
is bank qualified any number of values of yesOrNo.
has formal award date any number of occurrences of date.
is subject to alternate minimum tax any number of values of yesOrNo.
has ad valorem tax provision any number of occurrences of ad valorem tax provision.
has municipal trustee any number of occurrences of municipal trustee.
has verbal award date any number of occurrences of date."
municipal bond capital type,Class,,the allocation of municipal bond proceeds,
municipal bond issuance process information,Class,,Information specific to the Issuance of a Municipal Bond.,"A kind of debt issuance process information. A valid occurrence satisfies the following necessary conditions:
becomes part of terms at least one occurrence of municipal bond issue information.
has debt issuance purpose exactly one occurrence of debt issuance purpose.A valid occurrence may also have the following properties:
to be bank qualified any number of occurrences of Boolean value."
municipal bond issue information,Class,,"Information about the Issuance of a Municipal Bond, which is maintained throughout the life of the Security.","A kind of bond issue information. A valid occurrence satisfies the following necessary condition:
debt issuance purpose exactly one occurrence of text value.A valid occurrence may also have the following properties:
bank qualified any number of occurrences of Boolean value."
municipal bond refund terms,Class,,terms related to the refunding process of municipal securities,
municipal debt funds usage,Class,,official statement identifying the application of funds in connection with a new issue of municipal securities,
municipal debt issuer,Class,,"A Municipality, acting in the capacity of an Issuer. The Issuer of a Municipal Debt is a Municipality, which is identified as a State Actor governing on the part of a Municipal Area or City. This is equivalent to a Legal Entity.","A kind of Error9 and government debt issuer. A valid occurrence satisfies the following necessary conditions:
security issuer described as at least one occurrence of municipal government.
is played by at least one occurrence of municipal entity."
municipal debt obligor,Class,,A party having a financial obligation or arrangement to make the payment of all or part of debt service on municipal securities. The obligor is often the issuer but may be a conduit borrower of municipal securities proceeds.,A kind of contract third party.
municipal debt remarketing agent,Class,,The municipal securities dealer responsible for reselling to investors securities (such as variable rate demand obligations and other tender option bonds) that have been tendered for purchase by their owner. The remarketing agent also typically is responsible for resetting the interest rate for a variable rate issue and may act as tender agent,A kind of contract third party.
municipal entity,Class,municipality,"a polity that typically represents a city, township, or other administrative subdivision having corporate status and powers of self-government or jurisdiction","A kind of polity. A valid occurrence satisfies the following necessary conditions:
has sovereignty over at least one occurrence of municipality.
is represented by at least one occurrence of municipal government."
municipal government,Class,,the government of a municipality,"A kind of government. A valid occurrence satisfies the following necessary condition:
governs at least one occurrence of municipality."
municipal note,Class,,"A short-term obligation of an issuer to repay a specified principal amount on a certain date, together with interest at a stated rate, usually payable from a defined source of anticipated revenues. Notes usually mature in one year or less, although notes of longer maturities are also issued.",A kind of municipal security.
municipal security,Class,,"Municipal Securities is a general term referring to a bond, note, warrant, certificate of participation or other obligation issued by a state or local government or their agencies or authorities (such as cities, towns, villages, counties or special districts or authorities). A prime feature of most municipal securities is that interest or other investment earnings on them are generally excluded from gross income of the bondholder for federal income tax purposes. Some municipal securities are subject to federal income tax, although the issuers or bondholders may receive other federal tax advantages for certain types of taxable municipal securities. Some examples include Build America Bonds, municipal fund securities and direct pay subsidy bonds.","A kind of government issued debt security. A valid occurrence satisfies the following necessary condition:
has issuer at least one occurrence of municipal debt issuer.A valid occurrence may also have the following properties:
has municipal debt obligor any number of occurrences of municipal debt obligor.
is local tax exempt any number of values of yesOrNo.
is state taxable any number of values of yesOrNo.
is federal taxable any number of values of yesOrNo.
has remarketing agent any number of occurrences of municipal debt remarketing agent.
has municipal use any number of occurrences of municipal debt funds usage."
municipal trustee,Class,,"A financial institution with trust powers, designated by the issuer or borrower, that acts, pursuant to a bond contract, in a fiduciary capacity for the benefit of the bondholders in enforcing the terms of the bond contract. In many cases, the trustee also acts as custodian, paying agent, registrar and/or transfer agent for the bonds",A kind of contract third party.
municipality,Class,,an urban administrative division having corporate status and usually powers of self-government or jurisdiction,A kind of geopolitical entity.
mutual agreement,Class,,an agreement between two or more specific named parties. The rights and obligations pertaining to either party cannot be transferred to another party without prior agreement,"A kind of agreement. A valid occurrence satisfies the following necessary condition:
confers at least one occurrence of mutual commitment."
mutual commitment,Class,,A commitment between two or more parties,A kind of commitment.
mutual contractual agreement,Class,bilateral contract,a contract between two or more specific named parties; the rights and obligations pertaining to either party cannot be transferred to another party without prior written permission or a change to the contract itself,"A kind of contract and mutual agreement. A valid occurrence satisfies the following necessary condition:
has contract party at least two occurrences of contract party."
